customer_id,tariff_plan,days,total_kwh,total_bill
100000,EVPlan,366,22052.219,4346.19509765625
100001,MiddaySaver,366,20734.592,4715.395283203125
100002,MiddaySaver,366,14506.971,3420.0500146484374
100003,A1,366,24663.188,6083.1017265625005
100004,Solar,366,14205.621,1433.593505859375
100005,A1,366,14398.785,3701.7602617187504
100006,EVPlan,366,20426.988,4056.9039941406254
100007,Solar,366,18908.158,1762.77109375
100008,EVPlan,366,17087.664,3462.504296875
100009,Solar,366,19259.586,1787.371044921875
100010,Solar,366,15933.509,1554.545654296875
100011,EVPlan,366,10586.448,2305.287880859375
100012,A1,366,21155.863,5269.4025078125005
100013,MiddaySaver,366,15547.5,3636.4799999999996
100014,Solar,366,23273.234,2068.32646484375
100015,Solar,366,20970.45,1907.1314941406251
100016,MiddaySaver,366,20955.303,4761.30314453125
100017,A1,366,25510.668,6279.7171953125
100018,MiddaySaver,366,8940.979,2262.3235717773437
100019,A1,366,27395.719,6717.0489921875005
100020,Solar,366,14260.359,1437.4251953125
100021,Solar,366,34053.195,2822.9237304687504
100022,EVPlan,366,17472.404,3530.988125
100023,A1,366,9842.25,2644.644060546875
100024,MiddaySaver,366,11974.501,2893.296196289062
100025,A1,366,16209.649,4121.880769531251
100026,A1,366,21613.441,5375.560632812501
100027,A1,366,9346.994,2529.744685546875
100028,A1,366,21706.473,5397.143640625001
100029,MiddaySaver,366,13709.648,3254.206875
100030,EVPlan,366,11517.029,2470.93130859375
100031,Solar,366,19754.283,1821.999853515625
100032,MiddaySaver,366,19473.562,4453.101108398438
100033,MiddaySaver,366,8193.21,2106.7877124023435
100034,Solar,366,9744.549,1121.3184326171875
100035,EVPlan,366,23456.13,4596.091279296875
100036,MiddaySaver,366,11619.656,2819.4886083984375
100037,Solar,366,18074.53,1704.41708984375
100038,EVPlan,366,9566.838,2123.7971777343746
100039,EVPlan,366,10839.086,2350.2572900390624
100040,A1,366,11182.035,2955.4741484375
100041,MiddaySaver,366,10960.131,2682.3072119140625
100042,EVPlan,366,15527.111,3184.7259765625004
100043,MiddaySaver,366,9606.381,2400.727272949219
100044,Solar,366,14256.131,1437.12919921875
100045,MiddaySaver,366,6606.0957,1776.6679028320311
100046,EVPlan,366,9929.936,2188.42857421875
100047,Solar,366,18067.809,1703.946630859375
100048,Solar,366,11767.799,1262.9459472656251
100049,A1,366,20337.709,5079.590574218751
100050,Solar,366,16286.559,1579.259130859375
100051,EVPlan,366,15311.228,3146.298662109375
100052,A1,366,13284.29,3443.19741015625
100053,EVPlan,366,24242.99,4736.152421875
100054,EVPlan,366,11535.98,2474.3045166015627
100055,A1,366,9763.678,2626.41533984375
