customer_id,dwelling_type,household_size,tariff_plan,solar_kw,battery_kwh,ev_owner,smart_thermostat,has_solar
100000,House,4,EVPlan,0,0,0,0,0
100001,House,5,MiddaySaver,0,0,0,0,0
100002,Townhouse,3,MiddaySaver,3,0,0,1,1
100003,Apartment,5,A1,0,0,0,0,0
100004,Apartment,5,Solar,0,0,0,1,0
100005,Apartment,2,A1,0,0,0,0,0
100006,Townhouse,3,EVPlan,0,0,1,0,0
100007,House,3,Solar,0,10,0,0,0
100008,Townhouse,3,EVPlan,0,0,0,0,0
100009,House,5,Solar,0,5,0,1,0
100010,Apartment,4,Solar,0,5,0,0,0
100011,Apartment,3,EVPlan,3,0,0,0,1
100012,House,5,A1,3,0,0,0,1
100013,Apartment,2,MiddaySaver,0,0,0,0,0
100014,Townhouse,4,Solar,0,0,0,0,0
100015,House,2,Solar,0,0,1,0,0
100016,Apartment,4,MiddaySaver,0,0,0,0,0
100017,Apartment,5,A1,0,0,0,0,0
100018,Apartment,1,MiddaySaver,3,0,0,0,1
100019,Apartment,4,A1,0,0,1,0,0
100020,House,2,Solar,0,0,0,0,0
100021,House,5,Solar,0,0,1,0,0
100022,Apartment,4,EVPlan,3,0,0,0,1
100023,Townhouse,1,A1,0,0,0,0,0
100024,Townhouse,1,MiddaySaver,0,0,0,0,0
100025,Townhouse,3,A1,0,0,0,0,0
100026,Townhouse,3,A1,6,0,1,0,1
100027,House,2,A1,6,5,0,0,1
100028,House,4,A1,0,0,1,0,0
100029,Townhouse,4,MiddaySaver,0,0,0,0,0
100030,House,3,EVPlan,0,0,0,0,0
100031,Townhouse,4,Solar,0,5,0,1,0
100032,Apartment,4,MiddaySaver,3,0,0,0,1
100033,Apartment,1,MiddaySaver,3,0,0,1,1
100034,Townhouse,3,Solar,3,0,0,0,1
100035,House,5,EVPlan,3,0,0,0,1
100036,Townhouse,3,MiddaySaver,0,0,0,0,0
100037,House,5,Solar,0,0,0,0,0
100038,Apartment,1,EVPlan,3,10,0,0,1
100039,House,2,EVPlan,0,0,0,0,0
100040,Townhouse,4,A1,3,0,0,1,1
100041,Apartment,1,MiddaySaver,0,0,0,0,0
100042,Apartment,4,EVPlan,0,0,0,1,0
100043,House,2,MiddaySaver,10,5,0,0,1
100044,Apartment,2,Solar,0,0,0,0,0
100045,Apartment,1,MiddaySaver,10,0,0,0,1
100046,House,2,EVPlan,10,0,0,0,1
100047,Apartment,5,Solar,3,5,0,0,1
100048,Townhouse,2,Solar,3,0,0,1,1
100049,House,4,A1,0,0,0,0,0
100050,House,4,Solar,6,0,0,0,1
100051,House,4,EVPlan,0,0,0,0,0
100052,House,4,A1,0,10,0,0,0
100053,Townhouse,5,EVPlan,0,0,0,0,0
100054,House,3,EVPlan,0,0,0,0,0
100055,Townhouse,1,A1,0,0,0,0,0
100056,House,4,A1,0,0,0,0,0
100057,House,2,MiddaySaver,0,0,0,0,0
100058,Apartment,4,EVPlan,6,10,1,0,1
100059,Apartment,2,MiddaySaver,0,0,0,0,0
100060,Townhouse,2,Solar,6,5,0,0,1
100061,Apartment,4,Solar,3,0,0,0,1
100062,House,5,MiddaySaver,3,0,0,1,1
100063,Townhouse,2,A1,0,0,0,1,0
100064,Apartment,2,Solar,3,0,0,0,1
100065,House,4,A1,0,10,0,1,0
100066,Apartment,2,MiddaySaver,3,5,0,0,1
100067,Apartment,2,A1,0,0,0,0,0
100068,Apartment,4,EVPlan,6,0,0,0,1
100069,Apartment,4,Solar,10,0,1,1,1
100070,House,1,A1,0,5,0,0,0
100071,Apartment,5,A1,0,5,1,1,0
100072,Townhouse,5,EVPlan,3,0,0,1,1
100073,Townhouse,2,A1,0,0,0,0,0
100074,Apartment,5,MiddaySaver,6,0,0,0,1
100075,Townhouse,2,MiddaySaver,0,0,0,0,0
100076,Apartment,1,MiddaySaver,0,0,1,0,0
100077,House,4,Solar,10,0,0,0,1
100078,House,4,A1,3,0,0,0,1
100079,Townhouse,4,Solar,3,0,0,0,1
100080,Townhouse,5,Solar,0,5,0,0,0
100081,Apartment,1,A1,3,0,0,0,1
100082,Apartment,5,A1,0,0,0,0,0
100083,Apartment,5,MiddaySaver,0,0,1,0,0
100084,House,1,Solar,3,0,0,0,1
100085,Apartment,1,Solar,0,0,0,0,0
100086,House,1,A1,0,0,0,1,0
100087,Townhouse,1,Solar,0,0,0,0,0
100088,House,4,EVPlan,3,0,0,0,1
100089,Townhouse,3,A1,0,0,0,1,0
100090,House,3,MiddaySaver,3,0,0,0,1
100091,House,1,EVPlan,0,0,0,0,0
100092,Apartment,3,EVPlan,0,0,1,0,0
100093,Townhouse,3,MiddaySaver,3,0,0,1,1
100094,House,1,EVPlan,0,0,0,1,0
100095,House,3,EVPlan,0,0,0,0,0
100096,Townhouse,5,EVPlan,0,0,0,0,0
100097,House,2,Solar,0,10,0,1,0
100098,Townhouse,2,EVPlan,3,0,0,0,1
100099,Townhouse,1,EVPlan,0,0,0,0,0
100100,Townhouse,4,A1,3,0,1,0,1
100101,House,1,MiddaySaver,0,0,0,0,0
100102,House,4,Solar,0,0,0,0,0
100103,Apartment,2,Solar,6,0,1,0,1
