customer_id,solar_capacity_kw,battery_capacity_kwh,ev_plan_enrolled,midday_saver_enrolled,smart_meter_status
1,0,0,0,0,yes
2,0,0,0,0,no
3,3,0,0,1,no
4,0,5,0,0,yes
5,0,0,0,0,no
6,0,0,0,0,no
7,0,0,0,0,no
8,0,0,0,0,yes
9,0,0,0,0,yes
10,0,0,0,0,yes
11,3,13,1,0,no
12,0,13,0,0,no
13,0,5,0,0,no
14,10,0,0,0,no
15,6,0,0,0,no
16,6,0,0,0,no
17,0,0,0,0,no
18,6,0,0,0,no
19,0,0,0,1,no
20,6,0,0,1,no
21,0,0,0,0,no
22,0,0,0,0,no
23,3,0,0,1,yes
24,3,0,0,0,yes
25,0,0,0,0,no
26,0,0,0,0,yes
27,0,10,0,0,yes
28,0,0,0,0,yes
29,6,0,0,0,no
30,0,0,0,0,yes
31,0,0,1,0,no
32,0,0,0,0,no
33,0,0,0,1,no
34,0,5,0,0,yes
35,0,0,0,1,no
36,0,0,0,0,yes
37,6,0,0,0,yes
38,0,0,0,0,yes
39,3,13,0,0,no
40,0,0,0,0,no
41,3,0,0,0,yes
42,0,0,0,0,yes
43,3,0,0,0,no
44,0,0,0,0,no
45,3,0,0,0,no
46,0,0,0,0,no
47,0,0,0,0,no
48,0,0,0,0,no
49,6,0,0,0,no
50,6,5,0,1,no
51,6,0,0,1,no
52,0,0,0,0,no
53,0,0,0,0,no
54,0,0,0,0,no
55,0,0,1,0,no
56,0,0,1,0,no
57,0,0,0,0,no
58,3,0,1,0,no
59,0,5,0,0,yes
60,0,0,0,1,no
61,0,0,0,0,no
62,0,0,1,1,no
63,0,0,0,1,yes
64,0,0,0,1,no
65,0,0,0,1,yes
66,0,0,0,0,no
67,0,0,0,0,no
68,0,5,0,1,yes
69,6,0,0,0,no
70,0,0,0,0,no
71,0,0,0,0,yes
72,10,0,0,0,yes
73,0,0,0,0,no
74,10,0,0,0,no
75,0,0,0,0,no
76,0,0,0,1,no
77,3,0,1,1,no
78,3,0,0,0,yes
79,0,0,0,0,no
80,6,0,0,0,no
81,0,0,0,0,no
82,0,5,0,1,no
83,0,0,0,0,yes
84,0,0,0,0,yes
85,0,0,0,0,no
86,6,0,0,1,yes
87,6,0,0,0,no
88,3,0,0,0,no
89,6,0,1,0,no
90,3,0,0,0,no
91,0,0,0,0,no
92,6,0,0,0,no
93,0,0,0,1,no
94,0,0,0,0,no
95,0,0,0,0,no
96,0,0,0,1,yes
97,10,0,0,1,no
98,3,5,0,1,no
99,6,0,0,0,no
100,3,0,0,0,no
101,0,0,0,1,no
102,3,0,0,0,yes
103,0,0,0,0,no
104,0,0,0,0,no
105,3,5,1,0,no
106,0,0,0,0,yes
107,6,0,0,0,no
108,0,5,0,0,no
109,3,0,0,0,no
110,0,10,0,1,yes
111,0,0,1,0,no
112,0,0,0,0,no
113,0,0,0,1,no
114,3,5,0,0,no
115,3,13,0,0,no
116,0,0,0,0,yes
117,3,0,0,0,no
118,0,0,0,0,yes
119,0,0,0,0,no
120,0,0,0,1,yes
121,0,0,0,1,no
122,0,0,0,1,no
123,3,0,0,1,no
124,10,0,0,1,no
125,10,0,0,1,no
126,6,0,0,0,yes
127,0,5,0,0,no
128,0,0,0,0,no
129,3,0,0,0,no
130,0,0,0,0,yes
131,0,0,0,1,no
132,0,0,0,0,no
133,10,0,0,0,yes
134,0,10,0,0,yes
135,10,0,0,0,no
136,10,10,1,0,no
137,0,0,0,1,yes
138,6,10,0,1,no
139,3,0,0,0,no
140,6,0,0,0,no
141,3,0,0,0,no
142,0,0,0,1,no
143,3,0,0,0,no
144,0,0,0,0,yes
145,0,0,0,0,no
146,0,0,0,1,no
147,0,0,0,1,no
148,0,10,0,0,no
149,0,0,0,1,no
150,6,0,0,0,no
151,6,5,0,0,yes
152,10,0,0,0,no
153,0,0,0,0,no
154,3,0,0,0,no
155,0,0,0,0,no
156,0,0,0,1,no
157,0,0,0,1,no
158,0,5,0,0,yes
159,0,0,0,0,no
160,0,0,0,0,no
161,6,0,0,1,no
162,3,0,0,0,no
163,0,0,0,0,yes
164,3,0,0,0,yes
165,0,0,0,0,yes
166,3,0,0,0,no
167,6,0,0,0,no
168,0,0,1,0,yes
169,0,0,0,0,no
170,0,0,0,1,yes
171,3,0,0,1,no
172,0,0,0,0,no
173,0,0,0,0,no
174,3,0,0,0,no
175,10,0,0,0,no
176,0,0,0,0,no
177,0,0,0,1,no
178,3,0,0,0,no
179,0,0,1,1,no
180,3,0,0,0,no
181,6,5,0,0,no
182,0,0,0,0,yes
183,0,0,0,0,no
184,0,0,0,0,no
185,0,0,0,1,no
186,0,0,0,0,no
187,10,0,0,0,no
188,0,0,0,0,no
189,0,0,0,0,yes
190,6,5,0,0,no
191,0,0,0,0,no
192,0,5,0,0,no
193,6,0,0,0,yes
194,0,5,0,0,yes
195,0,0,0,0,no
196,0,0,0,1,no
197,0,0,0,0,no
198,3,0,0,0,yes
199,0,0,0,0,no
200,0,0,0,0,no
201,10,0,0,0,yes
