customer_id,invoice_month,monthly_kwh,bill_amount,tariff,concession,postcode
62694,2024-05,733.8754242723065,244.04,L1,0,6803
17121,2024-03,378.5727970653348,116.41,R1,0,6158
66555,2024-09,443.45589750299365,101.85,R3,0,6812
87326,2024-09,340.68914020157234,103.79,R1,1,6940
69794,2024-11,506.97848960471407,165.54,A1,0,6555
41211,2024-09,400.5094394314309,100.2,M1,0,6973
40019,2024-08,517.2782630588027,186.3,A1,0,6257
58561,2024-11,450.49250946583913,107.67,K1,0,6772
71327,2024-06,657.5957280362495,230.1,R1,0,6499
86731,2024-03,312.69094208446063,82.91,M1,0,6562
70821,2024-07,285.17295284169796,82.81,R1,0,6022
7930,2024-01,342.86852207362074,100.09,R1,0,6771
10984,2024-02,1035.0815498966708,292.18,R1,1,6447
85435,2024-11,317.8454979607381,98.31,A1,0,6749
28305,2024-10,309.7554786842745,90.86,R1,0,6305
54440,2024-01,423.8135729578523,84.03,R1,0,6246
54687,2024-06,495.60328136962863,160.31,A1,0,6671
69634,2024-02,633.9148977139939,187.94,R3,0,6297
67900,2024-10,347.3791317725561,94.51,M1,0,6653
20688,2024-10,545.9575220469407,190.94,R1,0,6542
37006,2024-04,434.11221365079405,138.28,M1,0,6795
20614,2024-09,343.98699987656585,68.85,R1,0,6755
47420,2024-03,674.3934747365885,240.97,K1,0,6594
79872,2024-05,541.1697415072794,171.92,L1,0,6011
65241,2024-04,562.8086553864238,193.88,R1,0,6039
45366,2024-04,681.5311755849663,174.51,R3,0,6025
91037,2024-04,292.31797721822414,104.74,R1,0,6503
9397,2024-01,501.17603587341216,114.55,A1,0,6679
5812,2024-06,617.9973002375848,143.84,A1,0,6899
99631,2024-05,806.8782781745793,282.35,M1,0,6883
12701,2024-11,590.6270135126866,166.08,L3,0,6010
8162,2024-12,453.9780779853211,152.13,M1,0,6028
60415,2024-07,772.2831464840772,234.25,L1,0,6357
4972,2024-08,378.8254173144133,93.16,M1,0,6044
19522,2024-02,1112.6418590448757,230.89,M1,0,6912
93392,2024-08,695.9949199382323,206.94,A1,0,6579
96249,2024-09,642.5018154685365,207.61,M1,0,6389
1078,2024-08,299.0232890210349,81.45,M1,0,6989
83928,2024-07,192.95201092365784,62.7,R1,0,6162
13598,2024-04,353.76962134036006,107.43,A1,0,6288
5308,2024-06,716.402902483843,246.28,M1,0,6643
89722,2024-11,496.32003774205833,169.37,L1,0,6298
91955,2024-03,624.2463690990537,135.77,L3,0,6922
56886,2024-06,674.9242621774782,221.54,R1,0,6297
84988,2024-04,582.2567546280249,108.88,M1,0,6001
75405,2024-03,250.18472529485226,75.8,R3,0,6092
30122,2024-04,301.972637127672,86.51,R1,0,6906
80287,2024-01,534.9946218670119,185.97,R1,0,6073
41386,2024-01,127.27795585691516,45.4,R1,0,6247
68510,2024-08,439.4816611823597,167.48,L1,0,6923
2712,2024-11,338.325602720834,109.46,R1,0,6269
47414,2024-02,361.2247855130858,94.58,A1,0,6671
94802,2024-07,348.70734620459666,131.87,R1,0,6299
98010,2024-02,100.5249791070675,41.78,M1,0,6202
68468,2024-12,668.4347624141177,204.33,M1,0,6351
78008,2024-07,578.7690748649542,208.78,L1,0,6455
8506,2024-04,467.44727685152526,172.68,R3,0,6432
32156,2024-01,571.1258407748987,161.05,M1,0,6229
79789,2024-08,714.5497088875527,159.85,A1,0,6912
14128,2024-01,333.6904062500392,113.46,R3,0,6328
78028,2024-09,747.8957193212415,252.63,M1,0,6706
95106,2024-05,216.3590531671451,49.47,M1,0,6876
61346,2024-08,263.7398204505031,103.17,R1,0,6099
93601,2024-11,385.49346518097974,108.97,L3,1,6265
38061,2024-03,713.7400282522318,254.99,R3,0,6223
65028,2024-11,579.3442719047252,120.29,R1,0,6210
26091,2024-04,513.2295224752099,172.18,K1,0,6194
58794,2024-09,665.2191589324653,228.51,R1,0,6884
23006,2024-06,436.5299988487725,159.8,R3,0,6748
87662,2024-02,358.97937663580905,97.61,A1,0,6855
69917,2024-05,899.4241442300519,253.83,R1,0,6225
40538,2024-01,455.47088537502657,101.07,R1,1,6768
31732,2024-01,465.86087385841216,114.86,A1,0,6496
43371,2024-06,605.6668480602931,190.78,L3,0,6127
67535,2024-05,985.4732209426719,360.95,M1,1,6434
32826,2024-08,424.23958211531885,150.32,R1,0,6919
70089,2024-09,658.860703810892,257.87,A1,0,6782
40394,2024-07,435.69016316423347,145.51,R3,0,6094
46080,2024-05,548.5095003101017,192.93,M1,0,6249
50780,2024-03,636.7947826146121,201.15,M1,1,6865
38338,2024-05,512.8712330285176,132.94,A1,0,6350
8030,2024-07,411.50914851297273,143.9,L1,0,6673
72456,2024-07,455.43301951306984,159.5,R3,0,6622
45495,2024-09,195.6167428831823,57.52,M1,0,6080
40346,2024-10,316.1323650136231,85.8,A1,0,6982
58468,2024-10,479.0849969117606,124.87,R1,0,6114
60554,2024-12,674.0669070924164,198.98,R1,0,6196
97778,2024-06,404.8331817596049,120.26,L1,0,6498
75932,2024-04,743.3777748357647,253.72,L3,0,6119
58000,2024-08,355.98214784684603,87.79,R1,0,6156
46271,2024-10,343.0630818827917,76.85,R1,0,6860
27752,2024-04,548.7930862955004,159.83,M1,0,6742
71454,2024-03,429.83911216455544,134.26,R1,0,6412
86366,2024-08,281.4932386722619,76.9,R1,0,6334
49593,2024-11,886.9771030524637,282.44,A1,0,6641
12232,2024-02,441.27475907782093,77.1,A1,0,6770
95873,2024-04,283.01152688551616,99.47,L1,0,6710
88573,2024-02,460.54639384237123,108.58,R3,0,6773
45326,2024-09,491.24580396271773,163.34,A1,1,6119
69866,2024-01,654.7448583736884,209.69,A1,0,6494
81834,2024-01,551.807958689603,171.69,M1,0,6329
81063,2024-01,394.8447762578957,83.86,R1,0,6750
23647,2024-03,497.5842480557725,147.79,R1,0,6564
83477,2024-10,711.5935367471894,202.12,A1,0,6509
51807,2024-11,924.8700552250286,286.42,R3,0,6016
72267,2024-10,583.5260193377119,166.77,A1,0,6096
74537,2024-12,559.7257258445035,239.18,R1,0,6535
80297,2024-03,226.37081871031927,52.26,A1,0,6480
59371,2024-08,511.7021985591434,152.9,R1,0,6785
62461,2024-01,435.6886417887009,132.75,A1,0,6547
35294,2024-03,795.1259912348145,229.65,R3,0,6783
33739,2024-03,1100.3656558775124,469.24,M1,0,6102
